DATE,TIME,O,H,L,C,V
2008.03.17,00:00,1.56737,1.5905,1.53968,1.5428,190962
2008.03.17,01:00,1.5428,1.54734,1.54057,1.54339,9381
2008.03.24,00:00,1.54339,1.58594,1.53415,1.57946,184579
2008.03.31,00:00,1.57946,1.5897,1.55108,1.57375,206334
2008.04.07,00:00,1.57375,1.59132,1.56276,1.58073,172010
2008.04.14,00:00,1.58073,1.59844,1.56545,1.58172,186892
2008.04.21,00:00,1.58172,1.60194,1.55556,1.5627,182527
2008.04.28,00:00,1.5627,1.56932,1.53608,1.5424,171236
2008.05.05,00:00,1.5424,1.55942,1.52852,1.54829,153583
2008.05.12,00:00,1.54829,1.56011,1.53658,1.55767,172187
2008.05.19,00:00,1.55767,1.58136,1.5486,1.57621,168536
2008.05.26,00:00,1.57621,1.5818,1.54622,1.55539,148889
2008.06.02,00:00,1.55539,1.57802,1.53654,1.57802,175646
2008.06.09,00:00,1.57802,1.58432,1.53038,1.53807,194614
2008.06.16,00:00,1.53807,1.56512,1.5346,1.56069,186273
2008.06.23,00:00,1.56069,1.57943,1.54688,1.57943,177924
2008.06.30,00:00,1.57943,1.59096,1.56555,1.57094,159873
2008.07.07,00:00,1.57094,1.59474,1.56116,1.59374,205976
2008.07.14,00:00,1.59374,1.60388,1.5784,1.58477,211685
2008.07.21,00:00,1.58477,1.59452,1.56288,1.57095,202121
2008.07.28,00:00,1.57095,1.57682,1.55148,1.55639,204500
2008.08.04,00:00,1.55639,1.56312,1.49978,1.50052,243906
2008.08.11,00:00,1.50052,1.5084,1.46592,1.46857,258917
2008.08.18,00:00,1.46857,1.49084,1.46304,1.47931,205149
2008.08.25,00:00,1.47931,1.48114,1.45718,1.46735,211106
2008.09.01,00:00,1.46735,1.4723,1.41962,1.4268,218817
2008.09.08,00:00,1.4268,1.44295,1.38829,1.42285,264871
2008.09.15,00:00,1.42285,1.45417,1.4072,1.44662,317715
2008.09.22,00:00,1.44662,1.48662,1.4437,1.46121,268223
2008.09.29,00:00,1.46121,1.46355,1.3702,1.37745,308053
2008.10.06,00:00,1.37745,1.37852,1.32581,1.33998,356510
2008.10.13,00:00,1.33998,1.37696,1.33454,1.34108,432213
2008.10.20,00:00,1.34108,1.35301,1.2497,1.26235,675392
2008.10.27,00:00,1.26235,1.32982,1.23298,1.27238,727123
2008.11.03,00:00,1.27238,1.31165,1.25275,1.2716,598525
2008.11.10,00:00,1.2716,1.2927,1.23888,1.26047,681377
2008.11.17,00:00,1.26047,1.28146,1.24217,1.25873,607390
2008.11.24,00:00,1.25873,1.30818,1.25684,1.26909,543579
2008.12.01,00:00,1.26909,1.28488,1.25494,1.27188,568533
2008.12.08,00:00,1.27188,1.34152,1.27155,1.33674,543374
2008.12.15,00:00,1.33674,1.47204,1.3353,1.39128,573523
2008.12.22,00:00,1.39128,1.41248,1.39016,1.40299,220920
2008.12.29,00:00,1.40299,1.43636,1.38398,1.39211,295571
2009.01.05,00:00,1.39211,1.3963,1.33119,1.34758,487574
2009.01.12,00:00,1.34758,1.3487,1.30262,1.32667,496117
2009.01.19,00:00,1.32667,1.33865,1.27666,1.29879,478507
2009.01.26,00:00,1.29879,1.33305,1.27633,1.28127,483372
2009.02.02,00:00,1.28127,1.30698,1.2704,1.29401,460146
2009.02.09,00:00,1.29401,1.3094,1.27214,1.28623,442432
2009.02.16,00:00,1.28623,1.2884,1.25134,1.28264,430554
2009.02.23,00:00,1.28264,1.2992,1.26047,1.26716,462101
2009.03.02,00:00,1.26716,1.27544,1.24562,1.26544,447261
2009.03.09,00:00,1.26544,1.29576,1.25562,1.29294,382536
2009.03.16,00:00,1.29294,1.3739,1.2837,1.35816,478388
2009.03.23,00:00,1.35816,1.37359,1.32576,1.32895,474769
2009.03.30,00:00,1.32895,1.3517,1.31131,1.34845,391796
2009.04.06,00:00,1.34845,1.35825,1.30925,1.31855,333181
2009.04.13,00:00,1.31855,1.33919,1.30178,1.30447,346637
2009.04.20,00:00,1.30447,1.3301,1.28854,1.3242,342258
2009.04.27,00:00,1.3242,1.33856,1.29649,1.32705,385183
2009.05.04,00:00,1.32705,1.36508,1.32125,1.36333,472413
2009.05.11,00:00,1.36333,1.37222,1.34614,1.34953,456869
2009.05.18,00:00,1.34953,1.40509,1.34236,1.39982,417298
2009.05.25,00:00,1.39982,1.41692,1.37928,1.4149,333504
2009.06.01,00:00,1.4149,1.43386,1.39327,1.39683,425108
2009.06.08,00:00,1.39683,1.41778,1.38058,1.40165,379607
2009.06.15,00:00,1.40165,1.40336,1.37482,1.39365,348624
2009.06.22,00:00,1.39365,1.41384,1.38268,1.4057,319027
2009.06.29,00:00,1.4057,1.42012,1.39284,1.39796,259880
2009.07.06,00:00,1.39796,1.40731,1.38328,1.39368,277233
2009.07.13,00:00,1.39368,1.41662,1.38979,1.41015,272202
2009.07.20,00:00,1.41015,1.42914,1.4096,1.42021,249824
2009.07.27,00:00,1.42021,1.43046,1.40078,1.42571,253805
2009.08.03,00:00,1.42571,1.44476,1.41544,1.41838,289551
